WLASL Glosses Ranked by Video Count
Total glosses: 2000
Total videos: 21083

Rank     Gloss                                    Videos       Percentage     
137      with                                     17             0.08%
138      write                                    17             0.08%
139      yesterday                                17             0.08%
140      again                                    16             0.08%
141      bad                                      16             0.08%
142      ball                                     16             0.08%
143      bathroom                                 16             0.08%
144      blanket                                  16             0.08%
145      buy                                      16             0.08%
146      call                                     16             0.08%
147      coffee                                   16             0.08%
148      cold                                     16             0.08%
149      college                                  16             0.08%
150      copy                                     16             0.08%
151      cute                                     16             0.08%
152      daughter                                 16             0.08%
153      far                                      16             0.08%
154      first                                    16             0.08%
155      friend                                   16             0.08%
156      good                                     16             0.08%
157      happy                                    16             0.08%
158      home                                     16             0.08%
159      know                                     16             0.08%
160      late                                     16             0.08%
161      leave                                    16             0.08%
162      list                                     16             0.08%
163      lose                                     16             0.08%
164      name                                     16             0.08%
165      old                                      16             0.08%
166      person                                   16             0.08%
167      police                                   16             0.08%
168      problem                                  16             0.08%
169      remember                                 16             0.08%
170      share                                    16             0.08%
171      soon                                     16             0.08%
172      stay                                     16             0.08%
173      sunday                                   16             0.08%
174      test                                     16             0.08%
175      tired                                    16             0.08%
176      trade                                    16             0.08%
177      travel                                   16             0.08%
178      window                                   16             0.08%
179      you                                      16             0.08%
180      example                                  15             0.07%
181      about                                    15             0.07%
182      approve                                  15             0.07%
183      arrive                                   15             0.07%
184      balance                                  15             0.07%
185      banana                                   15             0.07%
186      beard                                    15             0.07%
187      because                                  15             0.07%
188      boy                                      15             0.07%
189      business                                 15             0.07%
190      careful                                  15             0.07%
191      center                                   15             0.07%
192      chat                                     15             0.07%
193      children                                 15             0.07%
194      christmas                                15             0.07%
195      clock                                    15             0.07%
196      close                                    15             0.07%
197      convince                                 15             0.07%
198      country                                  15             0.07%
199      crash                                    15             0.07%
200      day                                      15             0.07%
201      discuss                                  15             0.07%
202      dress                                    15             0.07%
203      drive                                    15             0.07%
204      drop                                     15             0.07%
205      fat                                      15             0.07%
206      feel                                     15             0.07%
207      football                                 15             0.07%
208      future                                   15             0.07%
209      game                                     15             0.07%
210      girl                                     15             0.07%
211      government                               15             0.07%
212      hear                                     15             0.07%
213      here                                     15             0.07%
214      hope                                     15             0.07%
215      house                                    15             0.07%
216      husband                                  15             0.07%
217      interest                                 15             0.07%
218      join                                     15             0.07%
219      light                                    15             0.07%
220      live                                     15             0.07%
221      make                                     15             0.07%
222      mean                                     15             0.07%
223      more                                     15             0.07%
224      most                                     15             0.07%
225      music                                    15             0.07%
226      new                                      15             0.07%
227      none                                     15             0.07%
228      office                                   15             0.07%
229      order                                    15             0.07%
230      pants                                    15             0.07%
231      party                                    15             0.07%
232      past                                     15             0.07%
233      pencil                                   15             0.07%
234      plan                                     15             0.07%
235      please                                   15             0.07%
236      practice                                 15             0.07%
237      president                                15             0.07%
238      restaurant                               15             0.07%
239      ride                                     15             0.07%
240      russia                                   15             0.07%
241      salt                                     15             0.07%
242      sandwich                                 15             0.07%
243      sign                                     15             0.07%
244      since                                    15             0.07%
245      small                                    15             0.07%
246      some                                     15             0.07%
247      south                                    15             0.07%
248      student                                  15             0.07%
249      teach                                    15             0.07%
250      theory                                   15             0.07%
251      tomato                                   15             0.07%
252      train                                    15             0.07%
253      ugly                                     15             0.07%
254      war                                      15             0.07%
255      where                                    15             0.07%
256      your                                     15             0.07%
257      always                                   14             0.07%
258      animal                                   14             0.07%
259      argue                                    14             0.07%
260      baby                                     14             0.07%
261      back                                     14             0.07%
262      bake                                     14             0.07%
263      bath                                     14             0.07%
264      behind                                   14             0.07%
265      bring                                    14             0.07%
266      catch                                    14             0.07%
267      cereal                                   14             0.07%
268      champion                                 14             0.07%
269      cheese                                   14             0.07%
270      cough                                    14             0.07%
271      crazy                                    14             0.07%
272      delay                                    14             0.07%
273      delicious                                14             0.07%
274      disappear                                14             0.07%
275      divorce                                  14             0.07%
276      draw                                     14             0.07%
277      east                                     14             0.07%
278      easy                                     14             0.07%
279      egg                                      14             0.07%
280      environment                              14             0.07%
281      father                                   14             0.07%
282      fault                                    14             0.07%
283      flower                                   14             0.07%
284      friendly                                 14             0.07%
285      glasses                                  14             0.07%
286      halloween                                14             0.07%
287      hard                                     14             0.07%
288      heart                                    14             0.07%
289      hour                                     14             0.07%
290      humble                                   14             0.07%
291      hurry                                    14             0.07%
292      improve                                  14             0.07%
293      internet                                 14             0.07%
294      jump                                     14             0.07%
295      kill                                     14             0.07%
296      law                                      14             0.07%
297      match                                    14             0.07%
298      meat                                     14             0.07%
299      milk                                     14             0.07%
300      money                                    14             0.07%
301      month                                    14             0.07%
302      moon                                     14             0.07%
303      move                                     14             0.07%
304      near                                     14             0.07%
305      nephew                                   14             0.07%
306      nice                                     14             0.07%
307      niece                                    14             0.07%
308      noon                                     14             0.07%
309      north                                    14             0.07%
310      not                                      14             0.07%
311      nurse                                    14             0.07%
312      off                                      14             0.07%
313      ok                                       14             0.07%
314      patient                                  14             0.07%
315      pay                                      14             0.07%
316      perspective                              14             0.07%
317      potato                                   14             0.07%
318      sad                                      14             0.07%
319      saturday                                 14             0.07%
320      save                                     14             0.07%
321      scissors                                 14             0.07%
322      secret                                   14             0.07%
323      shoes                                    14             0.07%
324      shop                                     14             0.07%
325      silly                                    14             0.07%
326      sister                                   14             0.07%
327      sleep                                    14             0.07%
328      sorry                                    14             0.07%
329      straight                                 14             0.07%
330      sweet                                    14             0.07%
331      talk                                     14             0.07%
332      temperature                              14             0.07%
333      tent                                     14             0.07%
334      thank you                                14             0.07%
335      think                                    14             0.07%
336      throw                                    14             0.07%
337      today                                    14             0.07%
338      traffic                                  14             0.07%
339      understand                               14             0.07%
340      use                                      14             0.07%
341      voice                                    14             0.07%
342      vomit                                    14             0.07%
343      vote                                     14             0.07%
344      wednesday                                14             0.07%
345      west                                     14             0.07%
346      wet                                      14             0.07%
347      when                                     14             0.07%
348      which                                    14             0.07%
349      win                                      14             0.07%
350      word                                     14             0.07%
351      afternoon                                13             0.06%
352      age                                      13             0.06%
353      alone                                    13             0.06%
354      appointment                              13             0.06%
355      australia                                13             0.06%
356      avoid                                    13             0.06%
357      balloon                                  13             0.06%
358      basement                                 13             0.06%
359      bear                                     13             0.06%
360      believe                                  13             0.06%
361      better                                   13             0.06%
362      blind                                    13             0.06%
363      bored                                    13             0.06%
364      bowl                                     13             0.06%
365      box                                      13             0.06%
366      bracelet                                 13             0.06%
367      bread                                    13             0.06%
368      cafeteria                                13             0.06%
369      car                                      13             0.06%
370      chicken                                  13             0.06%
371      child                                    13             0.06%
372      choose                                   13             0.06%
373      church                                   13             0.06%
374      cookie                                   13             0.06%
375      cup                                      13             0.06%
376      cut                                      13             0.06%
377      decorate                                 13             0.06%
378      deep                                     13             0.06%
379      deer                                     13             0.06%
380      dentist                                  13             0.06%
381      dirty                                    13             0.06%
382      dive                                     13             0.06%
383      down                                     13             0.06%
384      dry                                      13             0.06%
385      ear                                      13             0.06%
386      earn                                     13             0.06%
387      earring                                  13             0.06%
388      elephant                                 13             0.06%
389      english                                  13             0.06%
390      escape                                   13             0.06%
391      expensive                                13             0.06%
392      explain                                  13             0.06%
393      fast                                     13             0.06%
394      fight                                    13             0.06%
395      find                                     13             0.06%
396      fishing                                  13             0.06%
397      floor                                    13             0.06%
398      fly                                      13             0.06%
399      follow                                   13             0.06%
400      from                                     13             0.06%
401      get                                      13             0.06%
402      happen                                   13             0.06%
403      hello                                    13             0.06%
404      hit                                      13             0.06%
405      hospital                                 13             0.06%
406      idea                                     13             0.06%
407      important                                13             0.06%
408      investigate                              13             0.06%
409      japan                                    13             0.06%
410      jealous                                  13             0.06%
411      king                                     13             0.06%
412      kitchen                                  13             0.06%
413      large                                    13             0.06%
414      last year                                13             0.06%
415      lemon                                    13             0.06%
416      lettuce                                  13             0.06%
417      marry                                    13             0.06%
418      meeting                                  13             0.06%
419      minute                                   13             0.06%
420      mirror                                   13             0.06%
421      miss                                     13             0.06%
422      monkey                                   13             0.06%
423      morning                                  13             0.06%
424      motorcycle                               13             0.06%
425      necklace                                 13             0.06%
426      never                                    13             0.06%
427      newspaper                                13             0.06%
428      night                                    13             0.06%
429      onion                                    13             0.06%
430      people                                   13             0.06%
431      pepper                                   13             0.06%
432      phone                                    13             0.06%
433      picture                                  13             0.06%
434      plus                                     13             0.06%
435      point                                    13             0.06%
436      poor                                     13             0.06%
437      possible                                 13             0.06%
438      quiet                                    13             0.06%
439      rain                                     13             0.06%
440      ready                                    13             0.06%
441      research                                 13             0.06%
442      scared                                   13             0.06%
443      science                                  13             0.06%
444      score                                    13             0.06%
445      sentence                                 13             0.06%
446      shape                                    13             0.06%
447      sit                                      13             0.06%
448      slow                                     13             0.06%
449      snake                                    13             0.06%
450      soap                                     13             0.06%
451      soda                                     13             0.06%
452      speech                                   13             0.06%
453      star                                     13             0.06%
454      stink                                    13             0.06%
455      struggle                                 13             0.06%
456      stubborn                                 13             0.06%
457      sunset                                   13             0.06%
458      surgery                                  13             0.06%
459      there                                    13             0.06%
460      tiger                                    13             0.06%
461      toast                                    13             0.06%
462      toilet                                   13             0.06%
463      tomorrow                                 13             0.06%
464      town                                     13             0.06%
465      transfer                                 13             0.06%
466      tree                                     13             0.06%
467      truck                                    13             0.06%
468      uncle                                    13             0.06%
469      vacation                                 13             0.06%
470      weather                                  13             0.06%
471      weekend                                  13             0.06%
472      accept                                   12             0.06%
473      adult                                    12             0.06%
474      after                                    12             0.06%
475      ago                                      12             0.06%
476      allow                                    12             0.06%
477      america                                  12             0.06%
478      angel                                    12             0.06%
479      answer                                   12             0.06%
480      any                                      12             0.06%
481      area                                     12             0.06%
482      art                                      12             0.06%
483      asl                                      12             0.06%
484      aunt                                     12             0.06%
485      awful                                    12             0.06%
486      awkward                                  12             0.06%
487      bacon                                    12             0.06%
488      bark                                     12             0.06%
489      bedroom                                  12             0.06%
490      beer                                     12             0.06%
491      belt                                     12             0.06%
492      big                                      12             0.06%
493      bitter                                   12             0.06%
494      both                                     12             0.06%
495      cake                                     12             0.06%
496      california                               12             0.06%
497      canada                                   12             0.06%
498      carrot                                   12             0.06%
499      cause                                    12             0.06%
500      challenge                                12             0.06%
501      cheap                                    12             0.06%
502      chocolate                                12             0.06%
503      clean                                    12             0.06%
504      cloud                                    12             0.06%
505      compare                                  12             0.06%
506      complex                                  12             0.06%
507      contact                                  12             0.06%
508      continue                                 12             0.06%
509      corner                                   12             0.06%
510      correct                                  12             0.06%
511      curse                                    12             0.06%
512      dead                                     12             0.06%
513      demand                                   12             0.06%
514      depend                                   12             0.06%
515      desert                                   12             0.06%
516      desk                                     12             0.06%
517      develop                                  12             0.06%
518      dictionary                               12             0.06%
519      doll                                     12             0.06%
520      duty                                     12             0.06%
521      easter                                   12             0.06%
522      egypt                                    12             0.06%
523      elevator                                 12             0.06%
524      email                                    12             0.06%
525      end                                      12             0.06%
526      enter                                    12             0.06%
527      europe                                   12             0.06%
528      event                                    12             0.06%
529      experience                               12             0.06%
530      face                                     12             0.06%
531      fail                                     12             0.06%
532      feed                                     12             0.06%
533      few                                      12             0.06%
534      flag                                     12             0.06%
535      food                                     12             0.06%
536      for                                      12             0.06%
537      form                                     12             0.06%
538      freeze                                   12             0.06%
539      friday                                   12             0.06%
540      front                                    12             0.06%
541      giraffe                                  12             0.06%
542      god                                      12             0.06%
543      grammar                                  12             0.06%
544      grandfather                              12             0.06%
545      great                                    12             0.06%
546      greece                                   12             0.06%
547      guess                                    12             0.06%
548      guitar                                   12             0.06%
549      hammer                                   12             0.06%
550      helicopter                               12             0.06%
551      high                                     12             0.06%
552      history                                  12             0.06%
553      hungry                                   12             0.06%
554      hurt                                     12             0.06%
555      introduce                                12             0.06%
556      invest                                   12             0.06%
557      lazy                                     12             0.06%
558      library                                  12             0.06%
559      lie                                      12             0.06%
560      lobster                                  12             0.06%
561      love                                     12             0.06%
562      lucky                                    12             0.06%
563      magazine                                 12             0.06%
564      measure                                  12             0.06%
565      microwave                                12             0.06%
566      my                                       12             0.06%
567      neighbor                                 12             0.06%
568      number                                   12             0.06%
569      one                                      12             0.06%
570      outside                                  12             0.06%
571      peach                                    12             0.06%
572      pig                                      12             0.06%
573      polite                                   12             0.06%
574      postpone                                 12             0.06%
575      power                                    12             0.06%
576      present                                  12             0.06%
577      price                                    12             0.06%
578      prison                                   12             0.06%
579      push                                     12             0.06%
580      raccoon                                  12             0.06%
581      really                                   12             0.06%
582      reason                                   12             0.06%
583      religion                                 12             0.06%
584      respect                                  12             0.06%
585      rule                                     12             0.06%
586      salad                                    12             0.06%
587      schedule                                 12             0.06%
588      sell                                     12             0.06%
589      serious                                  12             0.06%
590      shower                                   12             0.06%
591      single                                   12             0.06%
592      smart                                    12             0.06%
593      smile                                    12             0.06%
594      soft                                     12             0.06%
595      sound                                    12             0.06%
596      soup                                     12             0.06%
597      spain                                    12             0.06%
598      spray                                    12             0.06%
599      squirrel                                 12             0.06%
600      stomach                                  12             0.06%
601      story                                    12             0.06%
602      strange                                  12             0.06%
603      street                                   12             0.06%
604      stress                                   12             0.06%
605      strict                                   12             0.06%
606      strong                                   12             0.06%
607      sugar                                    12             0.06%
608      summer                                   12             0.06%
609      suspect                                  12             0.06%
610      sweetheart                               12             0.06%
611      tease                                    12             0.06%
612      that                                     12             0.06%
613      themselves                               12             0.06%
614      therapy                                  12             0.06%
615      thirsty                                  12             0.06%
616      ticket                                   12             0.06%
617      top                                      12             0.06%
618      tuesday                                  12             0.06%
619      turkey                                   12             0.06%
620      university                               12             0.06%
621      until                                    12             0.06%
622      watch                                    12             0.06%
623      weak                                     12             0.06%
624      wedding                                  12             0.06%
625      will                                     12             0.06%
626      wind                                     12             0.06%
627      world                                    12             0.06%
628      worry                                    12             0.06%
629      wow                                      12             0.06%
630      young                                    12             0.06%
631      exchange                                 11             0.05%
632      add                                      11             0.05%
633      airplane                                 11             0.05%
634      already                                  11             0.05%
635      also                                     11             0.05%
636      analyze                                  11             0.05%
637      and                                      11             0.05%
638      angry                                    11             0.05%
639      appear                                   11             0.05%
640      arm                                      11             0.05%
641      army                                     11             0.05%
642      arrest                                   11             0.05%
643      asia                                     11             0.05%
644      ask                                      11             0.05%
645      attitude                                 11             0.05%
646      attract                                  11             0.05%
647      bald                                     11             0.05%
648      barely                                   11             0.05%
649      baseball                                 11             0.05%
650      beg                                      11             0.05%
651      benefit                                  11             0.05%
652      bite                                     11             0.05%
653      blame                                    11             0.05%
654      boat                                     11             0.05%
655      body                                     11             0.05%
656      borrow                                   11             0.05%
657      boss                                     11             0.05%
658      bother                                   11             0.05%
659      bottle                                   11             0.05%
660      bottom                                   11             0.05%
661      brag                                     11             0.05%
662      build                                    11             0.05%
663      bus                                      11             0.05%
664      butter                                   11             0.05%
665      calm                                     11             0.05%
666      cancel                                   11             0.05%
667      candle                                   11             0.05%
668      cards                                    11             0.05%
669      choice                                   11             0.05%
670      comb                                     11             0.05%
671      comfortable                              11             0.05%
672      conflict                                 11             0.05%
673      cover                                    11             0.05%
674      deodorant                                11             0.05%
675      dessert                                  11             0.05%
676      destroy                                  11             0.05%
677      diamond                                  11             0.05%
678      dollar                                   11             0.05%
679      drawer                                   11             0.05%
680      dream                                    11             0.05%
681      drunk                                    11             0.05%
682      duck                                     11             0.05%
683      during                                   11             0.05%
684      eagle                                    11             0.05%
685      early                                    11             0.05%
686      equal                                    11             0.05%
687      every                                    11             0.05%
688      excited                                  11             0.05%
689      exercise                                 11             0.05%
690      experiment                               11             0.05%
691      expert                                   11             0.05%
692      fact                                     11             0.05%
693      fear                                     11             0.05%
694      feedback                                 11             0.05%
695      fold                                     11             0.05%
696      forest                                   11             0.05%
697      france                                   11             0.05%
698      frog                                     11             0.05%
699      funny                                    11             0.05%
700      garage                                   11             0.05%
701      goal                                     11             0.05%
702      golf                                     11             0.05%
703      gone                                     11             0.05%
704      gossip                                   11             0.05%
705      grandmother                              11             0.05%
706      grapes                                   11             0.05%
707      group                                    11             0.05%
708      guilty                                   11             0.05%
709      hamburger                                11             0.05%
710      hate                                     11             0.05%
711      head                                     11             0.05%
712      her                                      11             0.05%
713      horse                                    11             0.05%
714      ignore                                   11             0.05%
715      impossible                               11             0.05%
716      in                                       11             0.05%
717      independent                              11             0.05%
718      inside                                   11             0.05%
719      insurance                                11             0.05%
720      island                                   11             0.05%
721      lecture                                  11             0.05%
722      lesson                                   11             0.05%
723      limit                                    11             0.05%
724      lion                                     11             0.05%
725      listen                                   11             0.05%
726      march                                    11             0.05%
727      math                                     11             0.05%
728      maybe                                    11             0.05%
729      mechanic                                 11             0.05%
730      mom                                      11             0.05%
731      mouse                                    11             0.05%
732      much                                     11             0.05%
733      muscle                                   11             0.05%
734      museum                                   11             0.05%
735      must                                     11             0.05%
736      mustache                                 11             0.05%
737      negative                                 11             0.05%
738      nervous                                  11             0.05%
739      neutral                                  11             0.05%
740      nose                                     11             0.05%
741      often                                    11             0.05%
742      operate                                  11             0.05%
743      opinion                                  11             0.05%
744      other                                    11             0.05%
745      pass                                     11             0.05%
746      pillow                                   11             0.05%
747      prepare                                  11             0.05%
748      pretty                                   11             0.05%
749      priest                                   11             0.05%
750      program                                  11             0.05%
751      promise                                  11             0.05%
752      put                                      11             0.05%
753      queen                                    11             0.05%
754      quit                                     11             0.05%
755      radio                                    11             0.05%
756      rat                                      11             0.05%
757      reject                                   11             0.05%
758      require                                  11             0.05%
759      rest                                     11             0.05%
760      retire                                   11             0.05%
761      rise                                     11             0.05%
762      rough                                    11             0.05%
763      see                                      11             0.05%
764      seem                                     11             0.05%
765      send                                     11             0.05%
766      sew                                      11             0.05%
767      sheep                                    11             0.05%
768      shine                                    11             0.05%
769      shock                                    11             0.05%
770      should                                   11             0.05%
771      silent                                   11             0.05%
772      skinny                                   11             0.05%
773      skirt                                    11             0.05%
774      sky                                      11             0.05%
775      sour                                     11             0.05%
776      special                                  11             0.05%
777      spirit                                   11             0.05%
778      staff                                    11             0.05%
779      stand                                    11             0.05%
780      steal                                    11             0.05%
781      stop                                     11             0.05%
782      stupid                                   11             0.05%
783      summon                                   11             0.05%
784      sunrise                                  11             0.05%
785      swallow                                  11             0.05%
786      television                               11             0.05%
787      to                                       11             0.05%
788      together                                 11             0.05%
789      translate                                11             0.05%
790      triangle                                 11             0.05%
791      turtle                                   11             0.05%
792      underwear                                11             0.05%
793      up                                       11             0.05%
794      upset                                    11             0.05%
795      violin                                   11             0.05%
796      volunteer                                11             0.05%
797      warm                                     11             0.05%
798      warn                                     11             0.05%
799      wash                                     11             0.05%
800      wine                                     11             0.05%
801      witness                                  11             0.05%
802      wood                                     11             0.05%
803      zero                                     11             0.05%
804      river                                    10             0.05%
805      across                                   10             0.05%
806      actor                                    10             0.05%
807      agree                                    10             0.05%
808      alarm                                    10             0.05%
809      allergy                                  10             0.05%
810      almost                                   10             0.05%
811      announce                                 10             0.05%
812      apartment                                10             0.05%
813      attention                                10             0.05%
814      audience                                 10             0.05%
815      august                                   10             0.05%
816      autumn                                   10             0.05%
817      away                                     10             0.05%
818      beautiful                                10             0.05%
819      become                                   10             0.05%
820      below                                    10             0.05%
821      best                                     10             0.05%
822      bet                                      10             0.05%
823      bicycle                                  10             0.05%
824      biology                                  10             0.05%
825      boyfriend                                10             0.05%
826      break                                    10             0.05%
827      bridge                                   10             0.05%
828      brush                                    10             0.05%
829      building                                 10             0.05%
830      busy                                     10             0.05%
831      camera                                   10             0.05%
832      camp                                     10             0.05%
833      caption                                  10             0.05%
834      care                                     10             0.05%
835      carry                                    10             0.05%
836      celebrate                                10             0.05%
837      certificate                              10             0.05%
838      chain                                    10             0.05%
839      chance                                   10             0.05%
840      character                                10             0.05%
841      chase                                    10             0.05%
842      classroom                                10             0.05%
843      clear                                    10             0.05%
844      climb                                    10             0.05%
845      command                                  10             0.05%
846      community                                10             0.05%
847      complain                                 10             0.05%
848      compromise                               10             0.05%
849      contribute                               10             0.05%
850      cop                                      10             0.05%
851      couch                                    10             0.05%
852      cracker                                  10             0.05%
853      curious                                  10             0.05%
854      curriculum                               10             0.05%
855      dad                                      10             0.05%
856      deny                                     10             0.05%
857      describe                                 10             0.05%
858      diaper                                   10             0.05%
859      disagree                                 10             0.05%
860      dissolve                                 10             0.05%
861      divide                                   10             0.05%
862      dolphin                                  10             0.05%
863      double                                   10             0.05%
864      doubt                                    10             0.05%
865      dumb                                     10             0.05%
866      earth                                    10             0.05%
867      earthquake                               10             0.05%
868      eight                                    10             0.05%
869      embarrass                                10             0.05%
870      emotion                                  10             0.05%
871      encourage                                10             0.05%
872      energy                                   10             0.05%
873      enough                                   10             0.05%
874      evaluate                                 10             0.05%
875      evidence                                 10             0.05%
876      exact                                    10             0.05%
877      exaggerate                               10             0.05%
878      expect                                   10             0.05%
879      fancy                                    10             0.05%
880      favorite                                 10             0.05%
881      finally                                  10             0.05%
882      fox                                      10             0.05%
883      french                                   10             0.05%
884      fruit                                    10             0.05%
885      function                                 10             0.05%
886      gather                                   10             0.05%
887      germany                                  10             0.05%
888      gloves                                   10             0.05%
889      goat                                     10             0.05%
890      goodbye                                  10             0.05%
891      grow                                     10             0.05%
892      gum                                      10             0.05%
893      half                                     10             0.05%
894      hawaii                                   10             0.05%
895      herself                                  10             0.05%
896      highway                                  10             0.05%
897      homework                                 10             0.05%
898      honor                                    10             0.05%
899      ice cream                                10             0.05%
900      if                                       10             0.05%
901      increase                                 10             0.05%
902      india                                    10             0.05%
903      information                              10             0.05%
904      interpret                                10             0.05%
905      interview                                10             0.05%
906      invite                                   10             0.05%
907      israel                                   10             0.05%
908      jesus                                    10             0.05%
909      keep                                     10             0.05%
910      keyboard                                 10             0.05%
911      land                                     10             0.05%
912      lawyer                                   10             0.05%
913      lead                                     10             0.05%
914      lesbian                                  10             0.05%
915      line                                     10             0.05%
916      lock                                     10             0.05%
917      loud                                     10             0.05%
918      lousy                                    10             0.05%
919      lunch                                    10             0.05%
920      machine                                  10             0.05%
921      mad                                      10             0.05%
922      memorize                                 10             0.05%
923      minus                                    10             0.05%
924      monday                                   10             0.05%
925      mountain                                 10             0.05%
926      mouth                                    10             0.05%
927      mushroom                                 10             0.05%
928      napkin                                   10             0.05%
929      neck                                     10             0.05%
930      next                                     10             0.05%
931      open                                     10             0.05%
932      overwhelm                                10             0.05%
933      owe                                      10             0.05%
934      page                                     10             0.05%
935      pain                                     10             0.05%
936      parade                                   10             0.05%
937      parents                                  10             0.05%
938      perfect                                  10             0.05%
939      period                                   10             0.05%
940      philosophy                               10             0.05%
941      photographer                             10             0.05%
942      place                                    10             0.05%
943      policy                                   10             0.05%
944      popular                                  10             0.05%
945      pray                                     10             0.05%
946      predict                                  10             0.05%
947      presentation                             10             0.05%
948      print                                    10             0.05%
949      printer                                  10             0.05%
950      private                                  10             0.05%
951      procrastinate                            10             0.05%
952      project                                  10             0.05%
953      protect                                  10             0.05%
954      prove                                    10             0.05%
955      provide                                  10             0.05%
956      psychology                               10             0.05%
957      punish                                   10             0.05%
958      puzzled                                  10             0.05%
959      question                                 10             0.05%
960      quick                                    10             0.05%
961      rainbow                                  10             0.05%
962      rake                                     10             0.05%
963      rehearse                                 10             0.05%
964      remove                                   10             0.05%
965      revenge                                  10             0.05%
966      review                                   10             0.05%
967      rich                                     10             0.05%
968      roof                                     10             0.05%
969      rooster                                  10             0.05%
970      rude                                     10             0.05%
971      say                                      10             0.05%
972      scientist                                10             0.05%
973      scotland                                 10             0.05%
974      screwdriver                              10             0.05%
975      second                                   10             0.05%
976      senate                                   10             0.05%
977      separate                                 10             0.05%
978      service                                  10             0.05%
979      shrimp                                   10             0.05%
980      shy                                      10             0.05%
981      side                                     10             0.05%
982      situation                                10             0.05%
983      slave                                    10             0.05%
984      soccer                                   10             0.05%
985      socks                                    10             0.05%
986      solid                                    10             0.05%
987      sometimes                                10             0.05%
988      spider                                   10             0.05%
989      spin                                     10             0.05%
990      square                                   10             0.05%
991      stairs                                   10             0.05%
