WLASL Split-Gloss Summary


============================================================
TEST
============================================================
Total videos: 2878
Unique glosses: 1999

Gloss                                    Videos      
last year                                2           
lemon                                    2           
lettuce                                  2           
marry                                    2           
meeting                                  2           
minute                                   2           
mirror                                   2           
miss                                     2           
monkey                                   2           
morning                                  2           
motorcycle                               2           
necklace                                 2           
never                                    2           
newspaper                                2           
night                                    2           
onion                                    2           
people                                   2           
pepper                                   2           
phone                                    2           
picture                                  2           
plus                                     2           
point                                    2           
poor                                     2           
possible                                 2           
quiet                                    2           
rain                                     2           
ready                                    2           
research                                 2           
scared                                   2           
science                                  2           
score                                    2           
sentence                                 2           
shape                                    2           
sit                                      2           
slow                                     2           
snake                                    2           
soap                                     2           
soda                                     2           
speech                                   2           
star                                     2           
stink                                    2           
struggle                                 2           
stubborn                                 2           
sunset                                   2           
surgery                                  2           
there                                    2           
tiger                                    2           
toast                                    2           
toilet                                   2           
tomorrow                                 2           
town                                     2           
transfer                                 2           
tree                                     2           
truck                                    2           
uncle                                    2           
vacation                                 2           
weather                                  2           
weekend                                  2           
accept                                   2           
adult                                    2           
after                                    2           
ago                                      2           
allow                                    2           
america                                  2           
angel                                    2           
answer                                   2           
any                                      2           
area                                     2           
art                                      2           
asl                                      2           
aunt                                     2           
awful                                    2           
awkward                                  2           
bacon                                    2           
bark                                     2           
bedroom                                  2           
beer                                     2           
belt                                     2           
big                                      2           
bitter                                   2           
both                                     2           
cake                                     2           
california                               2           
canada                                   2           
carrot                                   2           
cause                                    2           
challenge                                2           
cheap                                    2           
chocolate                                2           
clean                                    2           
cloud                                    2           
compare                                  2           
complex                                  2           
contact                                  2           
continue                                 2           
corner                                   2           
correct                                  2           
curse                                    2           
dead                                     2           
demand                                   2           
depend                                   2           
desert                                   2           
desk                                     2           
develop                                  2           
dictionary                               2           
doll                                     2           
duty                                     2           
easter                                   2           
egypt                                    2           
elevator                                 2           
email                                    2           
end                                      2           
enter                                    2           
europe                                   2           
event                                    2           
exchange                                 2           
experience                               2           
face                                     2           
fail                                     2           
feed                                     2           
few                                      2           
flag                                     2           
food                                     2           
for                                      2           
form                                     2           
freeze                                   2           
friday                                   2           
front                                    2           
giraffe                                  2           
god                                      2           
grammar                                  2           
grandfather                              2           
great                                    2           
greece                                   2           
guess                                    2           
guitar                                   2           
hammer                                   2           
helicopter                               2           
high                                     2           
history                                  2           
hungry                                   2           
hurt                                     2           
introduce                                2           
invest                                   2           
lazy                                     2           
library                                  2           
lie                                      2           
lobster                                  2           
love                                     2           
lucky                                    2           
magazine                                 2           
measure                                  2           
microwave                                2           
my                                       2           
neighbor                                 2           
number                                   2           
one                                      2           
outside                                  2           
peach                                    2           
pig                                      2           
polite                                   2           
postpone                                 2           
power                                    2           
present                                  2           
price                                    2           
prison                                   2           
push                                     2           
raccoon                                  2           
really                                   2           
reason                                   2           
religion                                 2           
respect                                  2           
rule                                     2           
salad                                    2           
schedule                                 2           
sell                                     2           
serious                                  2           
shower                                   2           
single                                   2           
smart                                    2           
smile                                    2           
soft                                     2           
sound                                    2           
soup                                     2           
spain                                    2           
spray                                    2           
squirrel                                 2           
stomach                                  2           
story                                    2           
strange                                  2           
street                                   2           
stress                                   2           
strict                                   2           
strong                                   2           
sugar                                    2           
summer                                   2           
suspect                                  2           
sweetheart                               2           
tease                                    2           
that                                     2           
themselves                               2           
therapy                                  2           
thirsty                                  2           
ticket                                   2           
top                                      2           
tuesday                                  2           
turkey                                   2           
university                               2           
until                                    2           
watch                                    2           
weak                                     2           
wedding                                  2           
will                                     2           
wind                                     2           
world                                    2           
worry                                    2           
wow                                      2           
young                                    2           
add                                      2           
airplane                                 2           
already                                  2           
also                                     2           
analyze                                  2           
and                                      2           
angry                                    2           
appear                                   2           
arm                                      2           
army                                     2           
arrest                                   2           
asia                                     2           
ask                                      2           
attitude                                 2           
attract                                  2           
bald                                     2           
barely                                   2           
baseball                                 2           
beg                                      2           
benefit                                  2           
bite                                     2           
blame                                    2           
boat                                     2           
body                                     2           
borrow                                   2           
boss                                     2           
bother                                   2           
bottle                                   2           
bottom                                   2           
brag                                     2           
build                                    2           
bus                                      2           
butter                                   2           
calm                                     2           
cancel                                   2           
candle                                   2           
cards                                    2           
choice                                   2           
comb                                     2           
comfortable                              2           
conflict                                 2           
cover                                    2           
deodorant                                2           
dessert                                  2           
destroy                                  2           
diamond                                  2           
dollar                                   2           
drawer                                   2           
dream                                    2           
drunk                                    2           
duck                                     2           
during                                   2           
eagle                                    2           
early                                    2           
equal                                    2           
every                                    2           
excited                                  2           
exercise                                 2           
experiment                               2           
expert                                   2           
fact                                     2           
fear                                     2           
feedback                                 2           
fold                                     2           
forest                                   2           
france                                   2           
frog                                     2           
funny                                    2           
garage                                   2           
goal                                     2           
golf                                     2           
gone                                     2           
gossip                                   2           
grandmother                              2           
grapes                                   2           
group                                    2           
guilty                                   2           
hamburger                                2           
hate                                     2           
head                                     2           
her                                      2           
horse                                    2           
ignore                                   2           
impossible                               2           
in                                       2           
independent                              2           
inside                                   2           
insurance                                2           
island                                   2           
lecture                                  2           
lesson                                   2           
limit                                    2           
lion                                     2           
listen                                   2           
march                                    2           
math                                     2           
maybe                                    2           
mechanic                                 2           
mom                                      2           
mouse                                    2           
much                                     2           
muscle                                   2           
museum                                   2           
must                                     2           
mustache                                 2           
negative                                 2           
nervous                                  2           
neutral                                  2           
nose                                     2           
often                                    2           
operate                                  2           
opinion                                  2           
other                                    2           
pass                                     2           
pillow                                   2           
prepare                                  2           
pretty                                   2           
priest                                   2           
program                                  2           
promise                                  2           
put                                      2           
queen                                    2           
quit                                     2           
radio                                    2           
rat                                      2           
reject                                   2           
require                                  2           
rest                                     2           
retire                                   2           
rise                                     2           
river                                    2           
rough                                    2           
see                                      2           
seem                                     2           
send                                     2           
sew                                      2           
sheep                                    2           
shine                                    2           
shock                                    2           
should                                   2           
silent                                   2           
skinny                                   2           
skirt                                    2           
sky                                      2           
sour                                     2           
special                                  2           
spirit                                   2           
staff                                    2           
stand                                    2           
steal                                    2           
stop                                     2           
stupid                                   2           
summon                                   2           
sunrise                                  2           
swallow                                  2           
television                               2           
to                                       2           
together                                 2           
translate                                2           
triangle                                 2           
turtle                                   2           
underwear                                2           
up                                       2           
upset                                    2           
violin                                   2           
volunteer                                2           
warm                                     2           
warn                                     2           
wash                                     2           
wine                                     2           
witness                                  2           
wood                                     2           
zero                                     2           
gather                                   2           
hawaii                                   2           
herself                                  2           
spin                                     2           
thing                                    2           
type                                     2           
wear                                     2           
across                                   1           
actor                                    1           
agree                                    1           
alarm                                    1           
allergy                                  1           
almost                                   1           
announce                                 1           
apartment                                1           
attention                                1           
audience                                 1           
august                                   1           
autumn                                   1           
away                                     1           
beautiful                                1           
become                                   1           
below                                    1           
best                                     1           
bet                                      1           
bicycle                                  1           
biology                                  1           
boyfriend                                1           
