gloss,count
GANZTAGS,18
SCHNEE-PLUSPLUS,18
WO,18
VORAUSSAGE,18
VOGEL,18
SCHAUER-PLUSPLUS,18
DONNER,18
SECHSTE,18
AUFZIEHEN,18
B,17
WAS,17
POLEN,17
RECHNEN,17
SUPER,17
ZEHNTE,17
UEBERSCHWEMMUNG,16
ACH,16
DASSELBE,16
SCHWUEL,16
KOELN,16
VIERTE,16
loc-ORT-PLUSPLUS,16
FUENFTE,16
NAH,16
INSGESAMT,16
ACHTE,16
BERLIN,15
KEIN,15
NICHTS,15
SOLL,15
LOS,15
SCHNELL,15
ALS,15
IHR,14
VERBREITEN,14
VORBEI,14
WARUM,14
AUFLOCKERUNG,14
M,14
RICHTUNG,14
KOMMEN-PLUSPLUS,14
TROTZDEM,14
SCHAFFEN,14
STRASSE,14
HEUTE-NACHT,14
BISHER,14
MUESSEN,14
FLACH,14
ACHTUNG,14
EUCH,14
S,13
DANACH,13
Z,13
FUER,13
NORMAL,13
A,13
DRITTE,13
DAENEMARK,13
DA,13
RUSSLAND,13
TAUEN,13
H,13
NOCH-NICHT,13
JA,13
DAUER,13
VERRINGERN,13
LETZTE,13
ALLE,12
NICHT-MEHR,12
SAGEN,12
NICHT-VIEL,12
I,12
R,12
ES-GIBT,12
F,12
SECHSHUNDERT,12
AM-TAG,12
U,11
AUF,11
DICK,11
FUENFHUNDERT,11
ERSTMAL,11
ITALIEN,11
loc-KOMMEN,11
VORHER,11
loc-KUESTE,11
LITER,11
OBER,11
WECHSEL,11
BADEN,11
UMKEHREN,11
NIEDER,11
NEUNTE,11
UND-DANN,11
NICHTALP-KEIN,11
SCHAUEN,10
WASSER,10
MORGENS,10
SCHLESWIG,10
WOHER,10
OBEN,10
MERKEN,10
DREIDREISSIG,10
PUNKT,10
VORTEIL,9
poss-BEI-UNS,9
WIRKLICH,9
BIS-JETZT,9
WOLKE-PLUSPLUS,9
TYPISCH,9
LEIDER,9
SPANIEN,9
NICHT-KAUM,9
VORMITTAG,9
BEWEGEN,9
JAHR,9
EIFEL,9
GEWESEN,9
HUNDERT,9
WIRBEL,9
HOCHWASSER,9
ZURUECK,9
NEIN,9
GROSSBRITANNIEN,9
WECHSELHAFT-PLUSPLUS,9
STELLENWEISE,9
HOLSTEIN,9
SYLT,9
BRAUCHEN,9
GESTERN,8
AM,8
W,8
SIE,8
RISIKO,8
GRAU,8
SONNE-PLUSPLUS,8
GRIECHENLAND,8
NORWEGEN,8
VERKEHR,8
SELBE,8
NICHT-REGEN,8
VIERHUNDERT,8
loc-GRENZE,8
UM,8
PAAR,8
ABWECHSELN,8
SCHWEDEN,8
MEHR-PLUSPLUS,8
FOLGE,8
BLAU,7
NIEDERSACHSEN,7
DICHT,7
SCHLUSS,7
V,7
SAGE,7
GEWITTER-PLUSPLUS,7
loc-WEHEN,7
HARMLOS,7
RHEIN,7
J,7
VIERZIG,7
GROSS,7
ISLAND,7
AUFTAUCHEN,7
SIEBENHUNDERT,7
BEREICH,7
GEBEN,7
OSTERN,6
P,6
D,6
TEXT,6
ZWEIDREISSIG,6
HAELFTE,6
ANKOMMEN,6
KNAPP,6
ZENTIMETER,6
C,6
NICHT-NICHTS,6
TAUSEND,6
DREIHUNDERT,6
EIN-PAAR,6
SPAET,6
ROT,6
NIESELREGEN,6
BOEE,6
SCHLIMM,6
QUADRATMETER,6
FELD,6
STABIL,6
ERST,6
HALLO,6
BRANDENBURG,6
UEBERMORGEN,6
HOEHER,6
ERWARTEN,6
STEIN,6
QUELL,6
ZWOELFTE,6
NICHT-KEIN,6
UHR,6
ENDLICH,5
WEG,5
T,5
poss-MEIN,5
JEDEN-TAG,5
GEWOHNT,5
ETWAS,5
ANDERS,5
AUF-JEDEN-FALL,5
IN-PAAR-TAG,5
ACHTHUNDERT,5
AUSRICHTEN,5
ZWEI-TAG,5
PRO,5
SCHWIERIG,5
PASSIEREN,5
NICHT-TROCKEN,5
FUEHLEN-WIE,5
BEKANNTGEBEN,5
STURM-PLUSPLUS,5
loc-MITTE,5
OBWOHL,5
Y,5
SCH,5
NICHT-FROST,5
IMMER,5
WUERTTEMBERG,5
ENTSCHULDIGUNG,5
FAHREN,5
ZWISCHEN-NULL,5
FOEHN,5
WIRBELSTURM,5
BEKOMMEN,5
SEIN,5
loc-LAND,4
LEUTE,4
NACH-HAUSE,4
IRLAND,4
BELGIEN,4
INTERNET,4
CHAOS,4
loc-REGION-PLUSPLUS,4
SCHLECHT,4
POSITIV,4
WAR,4
K,4
WIR,4
AUFPASSEN,4
GLUECK,4
KILOMETER,4
TUERKEI,4
KUEHLER,4
TAGE,4
BESTIMMT,4
NORDSEE,4
GEMUETLICH,4
GEHEN,4
loc-AUFZIEHEN,4
DAMEN,4
HERREN,4
NEUNHUNDERT,4
ZENTRUM,4
CHANCE,4
FALLEN,4
BRINGEN,4
FERTIG,4
NORDRHEIN-WESTFALEN,4
HOFFEN,4
HAUPT,4
loc-WIND,4
NICHT-KLAR,4
AUTO,4
GLEICH-BLEIBEN,4
WICHTIG,4
POMMERN,4
TJA,4
KLEIN,4
BLOCKIEREN,4
GENAU,4
LAGE,4
DRESDEN,4
HART,4
PLOETZLICH,4
NICHT-REGION,4
STRAHLEN,4
REDUZIEREN,4
loc-STELLENWEISE-PLUSPLUS,4
RUND-UM-DIE-UHR,4
REKORD,4
MAINZ,3
AUS,3
HESSEN,3
PFALZ,3
GEMISCHT,3
ZU-ENDE,3
WER,3
PROZENT,3
NICHT-GRAD,3
FINNLAND,3
ZUFRIEDEN,3
ENDE,3
loc-TIEF,3
FLAECHENDECKEND,3
SIEBZIG,3
WIE-GEBLIEBEN,3
INSEL,3
AACHEN,3
SCHNEIEN-PLUSPLUS,3
ACHTZIG,3
OESTERREICH,3
MUENCHEN,3
loc-POSITION-PLUSPLUS,3
TAUGEN,3
HAMBURG,3
NICHT-SCHOEN,3
FREUEN,3
LIEGEN,3
VERMEIDEN,3
FLUT,3
HOLLAND,3
VERLAUFEN,3
STOCKEN,3
PROBLEM,3
HAAR,3
SAARLAND,3
BAD,3
ZIEHEN,3
NICHT-KALT,3
SPRIESSEN,3
DAUERND,3
VORBEREITEN,3
MOEGEN,3
SKI,3
loc-BERG,3
SCHADEN,3
WEIN,3
BLUETE,3
DUENN,3
BRITANNIEN,3
AUSNAHME,3
LUECKE,3
WAHR,3
SITZ,3
BODENSEE,3
loc-REGEN,3
WEIHNACHTEN,3
BITTE,3
BEOBACHTEN,3
AKTUELL,3
SPUEREN,3
ZUSAMMENHANG,3
ELFTE,3
ANGEMESSEN,3
FREI,3
NICHT-SCHLIMM,3
VERGLEICH,3
loc-BEREICH,3
TRENNEN,3
PFINGSTEN,3
NICHT-SONNE,3
WISSEN,3
ALSO,3
AN,3
SCHLECHTER,3
AUSHALTEN,3
X,3
SPAZIEREN,3
OB,3
BERUHIGEN,3
REIN,3
UNGEMUETLICH,3
HALB,3
DARUNTER,3
AUFKOMMEN,3
NIEDERUNG,3
HAFTEN,3
NICHT-NEBEL,3
FRANKFURT,3
RHEINLAND-PFALZ,3
AUFKLAREN,3
FUENFZIG,3
WEIHNACHT,3
FEIER,3
BEISEITE,3
SCHAU-MAL,3
ABSCHNITT,3
VERDICHTEN,3
IN-BESTIMMT-ZEIT,3
E+R+Z,3
C+M,3
SECHZIG,3
NICHT-WOLKE,3
BEI-UNS,2
MUENSTER,2
O,2
ANSCHAUEN,2
GROB,2
GELB,2
GESAMT,2
GOLD,2
PAAR-TAG,2
N,2
loc-POSITION,2
STRENG,2
loc-NULL,2
IM,2
ERDRUTSCH,2
TOLL,2
UNGARN,2
FLOCKEN,2
loc-UEBERALL,2
loc-LOCH-PLUSPLUS,2
cl-NULL,2
RICHTIG,2
NICHT-NORD,2
ZUG,2
SPITZE,2
loc-HABEN,2
NICHT-GEWITTER,2
TSCHECHIEN,2
AUSWAEHLEN-PLUSPLUS,2
NICHT-SEHEN,2
NICHT-FUEHLEN,2
REGION-PLUSPLUS,2
DEUTSCHLANDRAUM,2
NICHT-IMMER,2
LAHM,2
SCHLIMMER,2
WIRTSCHAFT,2
STOERUNG,2
DREHEN,2
NATUR,2
AUFBLUEHEN,2
ALLGEMEIN,2
WARTEN,2
FLIESSEN,2
GENUG,2
RODELN,2
NORDPOL,2
MOMENT,2
SO-BLEIBEN,2
PAUSE,2
FROST-PLUSPLUS,2
IN-PAAR-TAGE-SPAETER,2
NICHT-GEMUETLICH,2
KLAPPEN,2
BAUM,2
T-SHIRT,2
G,2
MESSEN,2
NAECHSTE-WOCHE,2
INSEL-PLUSPLUS,2
ABSINKEN,2
TUN,2
NICHTALP-STIMMT,2
UMSTELLEN,2
SEHR,2
IN,2
TROPISCH,2
ENTSPANNT,2
MORGEN-FRUEH,2
GEHOERT,2
FUER-ALLE,2
ZUSAMMEN,2
NICHT-NEIN,2
GEBIRGE,2
MOND,2
GUT-ABEND,2
KRATZEN,2
loc-FLUSS,2
BRAUN,2
TROPFEN-PLUSPLUS,2
WOHNEN,2
ZU,2
loc-FLAECHENDECKEND,2
HAGEL-PLUSPLUS,2
ERFURT,2
EXTREM,2
VERSCHIEBEN,2
AUFLOESEN-PLUSPLUS,2
NICHT-NICHT-MEHR,2
KIEL,2
DANEBEN,2
ERZ,2
GLATTEIS,2
HOEREN,2
loc-IX,2
SCHON-WIEDER,2
DRUCKFLAECHE,2
FRAGEZEICHEN,2
LAUFEN,2
ZWEIFEL,2
UNTERSCHIED-PLUSPLUS,2
BIS-MORGEN,2
EIN-BISSCHEN,2
AM-KUESTE,2
VERTREIBEN,2
AKTIV,2
BREMEN,2
MECKLENBURG,2
EBEN,2
FUEHLEN,2
GEHT-SO,2
UNSICHER,2
NEUNZEHNTE,2
ALT,2
SUCHEN,2
NICHTALP-KOENNEN,2
VERTEILEN,2
AUSSERGEWOEHNLICH,2
LEIPZIG,2
WEIT,2
REIF,2
BAUER,2
BALD,2
SITUATION,2
NICHT-WARTEN,2
PUENKTLICH,2
WUERZ,2
SICHER,2
SOWIESO,2
GETRENNT,2
EISEN,2
TRAUM,2
KANN,2
DURCHEINANDER,2
NICHT-EINFLUSS,2
ENTWICKELN,2
RUHRGEBIET,2
loc-ZEIGEN,2
loc-AUFLOESEN-PLUSPLUS,2
STAU,2
VERSCHWINDEN-PLUSPLUS,2
SCHLAF,2
RAND,2
ORANGE,2
ROSTOCK,2
DREI-MONATE,2
loc-STURM,2
MEIN,2
S+H,2
HARZ,2
HINREICHEND,2
MITBRINGEN,2
ZWEITAUSEND,2
MAL-SO,2
AMERIKA,1
loc-MINUS-PLUSPLUS,1
EINFACH,1
SPAETESTEN,1
loc-REGEN-PLUSPLUS,1
FACH,1
NICHT-ZU-WARM,1
VERWOEHNT,1
STUTTGART,1
STEIGEN-RUNTER-PLUSPLUS,1
HELL,1
WIEVIEL,1
loc-LAND-PLUSPLUS,1
STEHEN,1
NICHT-ACHTZEHN,1
RAUM,1
INNERHALB,1
DUMM,1
ERHOEHEN,1
NICHT-NOCH-NICHT,1
loc-SCHWACH-PLUSPLUS,1
AB-PLUSPLUS,1
NICHTALP-GIBT,1
NICHT-SPUEREN,1
NICHTALP-NICHT,1
VERSUCHEN,1
NICHT-DEUTSCH,1
NICHT-WARM,1
KOENNEN-PLUSPLUS,1
WUNDERBAR,1
HANNOVER,1
NICHT-GLEICH,1
SPORT,1
WEIT-SEHEN,1
BRUCKBERG,1
HUT,1
loc-KARTE,1
AUFHEITERN,1
SCHULD,1
BIS-MITTE,1
MAL-AB-ZU,1
NICHT-NICHT-NUR,1
FEHLT,1
DIESMAL,1
loc-IRGENDWO,1
SCHMELZEN,1
WASSER-STEIGEN,1
TAU,1
LETZTE-WOCHE,1
loc-RAUM,1
NICHT-BEDEUTEN,1
SCHAETZEN,1
loc-MEER,1
MITBEKOMMEN,1
HEILIGE,1
FREIZEIT,1
ALPENRAND,1
AM-RAND,1
loc-WOLKE,1
HERAB,1
FUENF-TAGE,1
ANDERE-MOEGLICHKEIT,1
ABSCHIED,1
loc-SONNE-SCHEINEN,1
EINSCHRAENKEN,1
EIN-WOCHE,1
WUNDERSCHOEN,1
STERN-PLUSPLUS,1
WACHSEN,1
KAPUTTGEGANGEN,1
MINDESTENS,1
ZOOM,1
SUED-PLUSPLUS,1
ANGST,1
NICHTALP-BRAUCHEN,1
BERGAB,1
loc-GLITZERN,1
qu-DU,1
qu-MOEGEN,1
HINDERNIS,1
NICHT-HOEHE,1
DIESE-WOCHE,1
IM-LAUFE,1
WERDEN,1
STIMMT,1
FUER-UNS,1
MITTEGEBIRGE,1
NICHT-SCHLECHT,1
EINE,1
AUTOMATISCH,1
BUNT,1
PULLOVER,1
MITNEHMEN,1
EINHUNDERT,1
KOMPLETT,1
EINLUSS,1
STADT,1
NICHT-REGEN-PLUSPLUS,1
STEIGEN-RUNTER,1
qu-STEIGEN,1
VORSTELLEN,1
BERUF,1
DARAUF,1
BEGINN,1
DENKEN,1
IN-KUERZE,1
NICHT-NAJA,1
RHEINDLAND,1
SCHWACH-PLUSPLUS,1
loc-STREIFEN,1
CHANCE-PLUSPLUS,1
loc-AUFTEILEN,1
NICHT-RICHTIG,1
ENTFERNT,1
MOSKAU,1
VORUEBERGEHEND,1
NICHT-DIESE-WOCHE,1
IN-DIESE-WOCHE,1
AUFLOCKERUNG-PLUSPLUS,1
BEKANNT,1
WASCH,1
MASCHINE,1
LEBEN,1
BEWOELKT-PLUSPLUS,1
NORDRHEIN,1
ARM,1
KANAL,1
loc-DRUCKFLAECHE,1
loc-AUSWAEHLEN,1
ZUM-GLUECK,1
DOCH-SONST-NOCH,1
DAS-WAR-ES,1
AUFHOEREN,1
REGEN-AUF-ALPEN,1
PFEIL,1
MATSCH,1
KLEINIGKEIT,1
NICHT-HEISS,1
BELAESTIGUNG,1
KOERPER-PLUSPLUS,1
LICHT,1
VERSPAETET,1
AENDERN,1
AUCH-NICHT,1
KALT-PLUSPLUS,1
SEIT,1
SEITE,1
loc-AUFZIEHEN-PLUSPLUS,1
GLAUBEN,1
GIPFEL,1
DABEI-PLUSPLUS,1
GLEICH-WIE,1
GLEICH-PLUSPLUS,1
UEBER-UNTER,1
GOTT,1
SEI-DANK,1
NICHT-NACHT,1
TRUEB-PLUSPLUS,1
BLEIBEN-GLEICH,1
loc-OBEN,1
loc-NEUN,1
UM-PLUSPLUS,1
HERVORRAGEND,1
loc-INSEL-PLUSPLUS,1
loc-MINUS,1
KANADA,1
NRW,1
ANHALT,1
SCHEINEN-PLUSPLUS,1
NICHT-cl-KOMMEN,1
MITZIEHEN,1
BERGAUF,1
HEUTE-MITTAG,1
VORPOMMERN,1
loc-TAL,1
WIND-PLUSPLUS,1
GRAD-PLUSPLUS,1
TEMPERATUR-PLUSPLUS,1
loc-SEE,1
loc-ZWOELF,1
ZUSAMMENTREFFEN,1
NICHT-KOENNEN,1
IN-KOMMEND-TAG,1
loc-VIER,1
loc-NEBEN,1
LAERM-PLUSPLUS,1
ZEITSKALA,1
KURVE,1
RHEINLAND,1
VIDEO,1
NICHT-HART,1
MEHR-WENIG,1
AUFZIEHEN-PLUSPLUS,1
NOCH-PLUSPLUS,1
NICHT-THEMA,1
AB-JETZT,1
SONNENUNTERGANG,1
WIRKEN,1
EIGENTLICH,1
SAND,1
KORB,1
NICHTALP-PASSEN,1
cl-KOMMEN-PLUSPLUS,1
loc-UNTEN,1
ATLANTIK,1
UNSER,1
MM,1
WESER,1
MANCHMAL-PLUSPLUS,1
MECKLENBURG-VORPOMMERN,1
KUEHL-PLUSPLUS,1
LAUSITZ,1
NOCH-MEHR,1
SCHUETZEN,1
SCHWIERIG-PLUSPLUS,1
HAVEN,1
DUESSELDORF,1
NICHT-MEISTENS,1
DEMNAECHST,1
S0NNE,1
LANDSCHAFT,1
BETT,1
RAUSFALLEN,1
ERSCHROCKEN,1
loc-AUFLOESEN,1
BADEN-WUERTTEMBERG,1
ZUSAMMENSTOSS,1
OHNE,1
VERBINDEN,1
START,1
DUNST,1
MEINEN,1
loc-STROEMEN,1
ABFALLEN,1
EINZELN-PLUSPLUS,1
UNTERNEHMEN,1
STROM,1
BEDINGUNGEN,1
KAUM-PLUSPLUS,1
WIE-IMMER-PLUSPLUS,1
TUERKEI-PLUSPLUS,1
AM-MEER,1
VOR-ALLEM,1
STEIGEN-OBEN,1
IRGENDWANN,1
MITEILEN,1
MERKWUERDIG,1
loc-ORT,1
NICHT-FUENF,1
lh-HOCH,1
KARFREITAG,1
RUMAENIEN,1
HEILIG,1
HEUTE-ABEND,1
NICHT-SCHEINEN,1
NN,1
WEIBER,1
UNWAHRSCHEINLICH,1
KALTFRONT,1
UEBERFLUTUNG,1
ERFAHRUNG,1
THEMA,1
BESPRECHEN,1
NIEDRIG,1
NICHT-VON,1
VERANTWORTLICH,1
loc-TROCKEN,1
NICHT-GENUG,1
KROATIEN,1
loc-OSTBAYERN,1
FEST,1
NUMMER,1
MAESSIG-PLUSPLUS,1
STAMM,1
INTERESSANT,1
OFT-PLUSPLUS,1
NICHT-TEIL,1
NICHT-NULL,1
BESSER-PLUSPLUS,1
loc-HABEN2-PLUSPLUS,1
WIEDER-ZURUECK,1
WANN,1
KOMMA,1
NICHT-KOMMEN,1
FUENF-UHR,1
BISSCHEN-PLUSPLUS,1
HUND,1
RUECKEN,1
ECHT,1
MAL-PLUSPLUS,1
MEHRMALS,1
WEIL,1
ZU-TUN,1
GESCHWINDIGKEIT,1
BROCKEN,1
HOLEN,1
UMSTAENDLICH,1
KONSTANT,1
MARKT,1
UND-SO-WEITER,1
AUSEINANDER,1
SCHRANK,1
ANSAMMELN,1
SCHIRM,1
ERFAHREN,1
LESEN,1
loc-ZWISCHEN,1
loc-VERSCHIEBEN,1
NICHT-SELTEN,1
QUADRAT,1
WARSCHEINLICH,1
URLAUB,1
SCHWITZEN,1
AFRIKA,1
DRAUSSEN,1
NICHTALP-MUSS,1
ZU-HAUSE,1
EMPFINDLICH,1
VEREINZELT,1
LOCH-PLUSPLUS,1
SIEBEN-WOCHE,1
ERLEICHERT,1
PFLANZE,1
BLUMEN-PLUSPLUS,1
GRUEN,1
WIESE,1
GENIESSEN,1
NICHT-SCHNEE,1
KOBLENZ,1
VORDERSCHEIBE,1
NICHT-STARK,1
PORTUGAL,1
WIE-LANG,1
KRISE,1
ZAHL,1
ALPENTAL,1
KLAR-PLUSPLUS,1
KUCHEN,1
SCHLAGSAHNE,1
loc-ZWEI,1
loc-SIEBEN,1
BLATT,1
loc-NEBEL,1
loc-SUEDRAUM,1
VOR-LETZTEN-TAGEN,1
DREIMAL,1
DAFUER,1
VOLL,1
TANKEN,1
KOERPER,1
AUFFUELLEN,1
FRONT,1
ENTHALTEN,1
DURCHSCHNITT,1
MUND,1
EIN-JAHR,1
EWIG,1
AUFEINANDERTREFFEN,1
NEUNZIG,1
IN-KOMMEND-ZEIT,1
loc-GRAD,1
BETROFFEN,1
AEHNLCH,1
ZUM-BEISPIEL,1
BEDECKT,1
GRAUPEL-PLUSPLUS,1
HALTEN,1
loc-SECHS,1
loc-SIEBENZEHN,1
SICHT,1
RHEIN-PFALZ,1
WOANDERS,1
K+U+N+A,1
ZWEIHUNDERT,1
WITTERUNG,1
ZEHN-STUNDEN,1
RUHIGER,1
NASE,1
HEINS,1
SECHSZEHNTE,1
ORIENTIEREN,1
NICHT-MOEGEN,1
EINHALB,1
STUFENWEISE,1
WEISS,1
GAENSEFUSS,1
UEBERSPRINGEN,1
MANNHEIM,1
SLOWAKEI,1
BEIDE,1
MOECHTEN,1
ENTTAEUSCHT,1
KREISEN,1
MENSCHEN,1
FROH,1
KNOSPE-ABFALLEN,1
ERNTE,1
O+P+H+E+L+I+A,1
ABKUEHLEN,1
POSITION,1
BILD,1
NICHT-WAHRSCHEINLICH,1
ANKLICKEN,1
AB-SO,1
VERLAENGERN,1
VESCHWINDEN,1
VON-UNTEN,1
NACH-NORD,1
S+L+Y,1
DAS-WARS,1
TRINKEN,1
SELBST,1
ENTSCHEIDUNG,1
NICHT-IN-KOMMEND,1
SAEGE,1
GARTEN,1
AUTOBAHN,1
ZWISCHEN-MITTE,1
NEBEN,1
BESTE,1
SCHNEEVERWEHUNG,1
